1	-2.09	-1.61	0.02	0.20
2	3.65	-3.21	0.25	0.23
3	-9.25	-6.34	0.55	0.17
4	-11.20	-9.01	0.75	0.23
5	-10.80	-5.71	1.02	0.13
6	-12.80	-5.93	1.25	0.17
7	-7.93	-6.41	1.45	0.17
8	-12.10	-6.00	1.72	0.40
9	-11.90	-1.10	2.15	0.50
10	-13.40	0.84	2.68	0.37
11	-15.20	-1.17	3.08	0.23
12	2.09	2.07	3.42	0.20
13	5.69	-1.42	3.65	0.37
14	-12.70	4.23	4.05	0.27
15	-7.38	2.32	4.38	0.13
16	-14.30	-0.72	4.58	0.30
17	-14.40	-4.26	4.92	0.13
18	-14.10	1.18	5.08	0.37
19	4.47	6.28	5.78	0.17
20	16.60	11.20	6.02	0.27
21	6.17	0.58	6.35	0.33
22	7.24	3.45	6.72	0.50
23	5.48	-2.69	7.38	0.37
24	11.70	-2.92	7.78	0.20
25	-11.20	5.81	8.22	0.27
26	-14.30	6.82	8.52	0.37
27	-13.70	11.90	8.95	0.40
28	-8.67	12.40	9.38	0.30
29	3.26	4.17	9.78	0.27
30	6.28	5.61	10.10	0.17
31	14.50	0.84	10.30	0.27
32	16.30	1.34	10.60	0.10
33	3.95	6.47	11.00	0.13
34	4.09	1.84	11.20	0.10
35	-11.50	7.09	11.50	0.33
36	-13.10	9.37	11.90	0.23
37	-13.20	13.90	12.20	0.13
38	-8.73	11.90	12.60	0.53
39	7.30	2.69	13.20	0.13
40	13.00	-0.98	13.40	0.23
41	12.80	-4.81	13.70	0.13
42	14.90	1.46	13.80	0.10
43	-8.98	13.10	14.10	0.17
