1	-1.00	3.96	0.02	0.20
2	1.28	2.59	0.25	0.27
3	-12.90	-11.10	0.65	0.13
4	-15.50	-7.57	0.92	0.27
5	-16.60	-4.21	1.22	0.40
6	-12.70	-5.55	1.65	0.20
7	-15.60	-3.94	1.88	0.30
8	-17.80	-0.49	2.22	0.37
9	-14.20	-0.36	2.62	0.23
10	-17.20	2.67	2.88	0.37
11	-16.20	-0.74	3.28	0.17
12	-18.50	-0.40	3.48	0.47
13	-15.50	-0.49	3.98	0.17
14	-17.50	7.32	4.18	0.80
15	-14.90	7.55	5.02	0.30
16	-17.40	11.80	5.35	0.37
17	-17.60	13.70	5.75	0.40
18	-13.20	13.30	6.18	0.30
19	-15.50	11.00	6.52	0.33
20	2.27	4.54	6.92	0.53
21	7.29	4.06	7.48	0.23
22	4.03	-0.17	7.75	0.27
23	4.92	2.40	8.05	0.23
24	2.77	-0.79	8.32	0.43
25	-0.13	0.04	8.78	0.53
26	-15.10	10.60	9.42	0.23
27	-17.10	10.60	9.68	0.13
28	-17.20	7.12	9.85	0.53
29	-15.20	8.05	10.40	0.37
30	-17.60	8.23	10.80	0.37
31	-13.10	8.09	11.20	0.13
32	-1.32	8.28	11.40	0.17
33	1.95	4.37	11.60	0.13
34	-0.95	14.20	11.80	0.63
35	0.82	13.60	12.50	0.20
36	-4.77	-0.33	12.70	0.33
37	-3.48	-1.05	13.10	0.33
38	-5.29	-0.76	13.50	0.10
39	-1.93	3.57	13.60	0.23
40	8.62	3.42	13.90	0.23
41	4.50	-7.72	14.20	0.30
42	3.83	6.25	14.50	0.10
43	2.88	3.53	14.70	0.17
