1	1,63	-3,15	0,02	0,27
2	-2,35	-4,76	0,32	0,17
3	16,70	-12,40	1,22	0,23
4	14,70	-15,20	1,48	0,57
5	12,60	-15,80	2,12	0,37
6	14,00	-15,70	4,18	0,23
7	17,50	-15,20	5,18	0,63
8	15,20	-14,00	5,85	0,63
9	4,13	-2,09	7,22	0,20
10	5,88	-6,56	7,48	0,40
11	-4,15	3,47	9,08	0,33
12	-11,20	9,47	9,58	0,20
13	-11,10	6,73	9,98	0,13
14	3,35	5,08	10,20	0,10
15	-0,80	1,49	10,50	0,17
16	5,71	-4,94	10,80	0,30
17	13,10	3,06	11,10	0,37
18	12,10	5,04	11,50	0,37
19	12,20	9,35	13,30	0,63
20	12,00	6,45	14,30	0,10
