1	5,60	-1,77	0,22	0,33
2	-1,75	0,93	0,58	0,20
3	-4,25	4,54	0,82	0,47
4	-10,10	7,01	1,32	0,30
5	-12,30	6,97	1,65	0,13
6	-8,53	0,73	1,82	0,13
7	8,15	-3,38	2,02	0,30
8	9,57	-0,47	2,35	0,30
9	10,30	1,41	2,68	0,23
10	9,91	5,08	2,95	0,37
11	9,85	9,96	3,45	0,50
12	3,79	-2,56	3,98	0,33
13	2,46	-4,12	4,35	0,40
14	-5,83	-9,84	4,78	0,13
15	-17,40	-10,90	5,02	0,70
16	-19,60	-10,20	5,75	0,27
17	-3,52	0,70	6,08	0,20
18	1,46	-1,72	6,32	0,27
19	2,49	-4,31	6,78	0,17
20	2,95	-4,05	7,02	0,27
21	-4,94	6,54	7,35	0,37
22	-8,63	8,36	7,75	0,10
23	-17,40	10,80	7,92	0,53
24	11,30	11,50	8,55	1,37
25	12,00	10,60	9,95	0,20
26	11,50	9,01	10,20	0,50
27	11,10	6,44	10,70	0,70
28	10,90	4,25	11,50	0,33
29	10,40	0,64	11,80	0,50
30	12,10	-0,07	12,40	0,10
31	11,40	-4,58	12,50	0,90
32	8,84	-4,71	13,40	0,20
33	10,90	-8,93	13,70	0,30
34	11,90	-13,10	14,00	0,27
35	11,30	-14,60	14,30	0,33
