1	-1.07	-2.14	0.02	0.90
2	9.83	1.16	0.95	0.17
3	-13.00	-14.90	1.38	0.43
4	-8.84	-14.50	1.85	0.13
5	-4.45	-12.50	2.12	0.27
6	0.36	-13.80	2.58	0.27
7	-4.60	-10.90	2.88	0.13
8	-11.70	-8.04	3.05	0.23
9	-15.00	-8.42	3.38	0.17
10	-13.10	-6.78	3.58	1.13
11	-11.00	-6.36	4.75	0.63
12	-12.10	-8.14	5.42	0.23
13	-4.19	-7.06	5.75	0.27
14	-2.29	-3.33	6.05	0.70
15	-1.74	-1.26	6.78	0.73
16	-2.37	-3.71	7.55	0.50
17	0.29	-4.31	8.08	0.90
18	4.95	-2.70	9.02	0.27
19	4.45	-0.31	9.32	0.20
20	6.86	-0.28	9.55	0.77
21	5.48	1.48	10.40	0.50
22	4.75	-0.68	10.90	0.43
23	10.10	7.77	11.40	0.23
24	13.00	11.80	11.60	0.43
25	10.70	5.18	12.10	0.63
26	5.48	1.18	12.80	0.20
27	12.30	-1.32	13.00	0.40
28	9.46	-7.59	13.50	0.17
29	9.13	-9.55	13.70	0.60
