1	-8.66	1.59	0.02	0.20
2	-1.78	0.38	0.25	0.10
3	1.53	-1.29	0.38	0.87
4	5.59	-1.94	1.32	0.17
5	8.20	-2.01	1.52	0.33
6	13.00	4.27	1.95	0.37
7	-8.40	-5.92	2.38	0.60
8	-9.96	-6.48	3.02	0.27
9	-10.20	-8.15	3.35	0.33
10	-9.09	-5.52	3.72	0.23
11	-16.70	0.55	4.02	0.33
12	-16.70	5.53	4.38	0.33
13	-0.99	-2.08	4.75	0.20
14	1.64	-2.27	5.05	0.60
15	5.15	-1.99	5.72	0.17
16	7.65	-1.01	5.92	0.40
17	11.50	-3.61	6.38	0.27
18	10.00	-6.64	6.72	0.40
19	11.20	-5.93	7.18	0.37
20	11.30	-6.21	7.58	0.87
21	12.80	-5.35	8.48	0.20
22	12.70	-1.97	8.72	0.83
23	14.60	-1.22	9.58	0.13
24	8.09	0.16	9.75	0.67
25	8.44	1.81	10.50	0.63
26	13.90	1.68	11.30	0.23
27	14.00	-0.15	11.50	0.23
28	14.60	-0.05	11.80	1.17
29	14.30	-1.72	13.00	0.27
30	12.90	-2.75	13.30	0.67
31	10.30	-3.28	14.10	0.20
32	7.62	-3.48	14.30	0.30
