1	-5.98	1.57	0.02	0.20
2	1.56	-0.04	0.28	0.20
3	-10.20	-13.90	0.82	0.10
4	-13.90	-8.37	1.15	0.20
5	-8.14	-13.10	1.45	0.20
6	-8.41	-10.40	1.68	0.60
7	-4.92	-11.10	2.32	0.43
8	-1.07	-11.60	2.78	0.33
9	2.36	-11.50	3.15	0.37
10	1.74	0.07	3.55	0.30
11	1.17	-2.33	3.92	0.13
12	-7.31	-5.62	4.08	0.37
13	-9.28	-4.62	4.48	0.20
14	-11.70	-6.57	4.72	0.63
15	-9.98	-6.57	5.38	0.60
16	-6.88	-6.41	6.02	0.33
17	-15.60	2.21	6.42	0.20
18	-18.00	1.59	6.65	0.57
19	-16.10	4.94	7.25	0.57
20	-16.30	7.61	7.85	0.37
21	-4.54	9.12	8.25	0.43
22	-2.52	9.78	8.72	0.10
23	-14.00	12.20	8.92	0.20
24	-15.90	11.90	9.15	0.43
25	-12.10	11.80	9.62	0.60
26	-3.64	10.20	10.30	0.10
27	2.37	0.23	10.40	0.23
28	1.49	-1.98	10.70	0.70
29	3.65	-1.64	11.40	0.20
30	8.75	-0.51	11.60	0.67
31	12.60	-3.30	12.30	0.20
32	11.70	-6.34	12.60	0.80
33	14.70	-1.69	13.40	0.33
34	15.20	0.41	13.80	0.67
35	15.20	4.50	14.50	0.13
